0.00	0.00
0.05	0.16
0.10	0.31
0.15	0.45
0.20	0.59
0.25	0.71
0.30	0.81
0.35	0.89
0.40	0.95
0.45	0.99
0.50	1.00
0.55	0.99
0.60	0.95
0.65	0.89
0.70	0.81
0.75	0.71
0.80	0.59
0.85	0.45
0.90	0.31
0.95	0.16
1.00	0.00
1.05	-0.16
1.10	-0.31
1.15	-0.45
1.20	-0.59
1.25	-0.71
1.30	-0.81
1.35	-0.89
1.40	-0.95
1.45	-0.99
1.50	-1.00
1.55	-0.99
1.60	-0.95
1.65	-0.89
1.70	-0.81
1.75	-0.71
1.80	-0.59
1.85	-0.45
1.90	-0.31
1.95	-0.16
2.00	-0.00
2.05	0.16
2.10	0.31
2.15	0.45
2.20	0.59
2.25	0.71
2.30	0.81
2.35	0.89
2.40	0.95
2.45	0.99
2.50	1.00
2.55	0.99
2.60	0.95
2.65	0.89
2.70	0.81
2.75	0.71
2.80	0.59
2.85	0.45
2.90	0.31
2.95	0.16
3.00	0.00
3.05	-0.16
3.10	-0.31
3.15	-0.45
3.20	-0.59
3.25	-0.71
3.30	-0.81
3.35	-0.89
3.40	-0.95
3.45	-0.99
3.50	-1.00
3.55	-0.99
3.60	-0.95
3.65	-0.89
3.70	-0.81
3.75	-0.71
3.80	-0.59
3.85	-0.45
3.90	-0.31
3.95	-0.16
4.00	-0.00
4.05	0.16
4.10	0.31
4.15	0.45
4.20	0.59
4.25	0.71
4.30	0.81
4.35	0.89
4.40	0.95
4.45	0.99
4.50	1.00
4.55	0.99
4.60	0.95
4.65	0.89
4.70	0.81
4.75	0.71
4.80	0.59
4.85	0.45
4.90	0.31
4.95	0.16
